Country,Year,PercResistant,Antibiotic
Argentina,2004,0.0,Amikacin
Argentina,2005,1.9607843137254901,Amikacin
Argentina,2006,2.3255813953488373,Amikacin
Argentina,2007,2.18978102189781,Amikacin
Argentina,2008,5.2631578947368425,Amikacin
Argentina,2009,2.898550724637681,Amikacin
Argentina,2010,0.9259259259259259,Amikacin
Argentina,2011,4.0,Amikacin
Argentina,2012,5.633802816901408,Amikacin
Argentina,2013,2.73972602739726,Amikacin
Argentina,2014,6.666666666666667,Amikacin
Argentina,2015,0.0,Amikacin
Argentina,2016,1.2048192771084338,Amikacin
Argentina,2017,1.25,Amikacin
Australia,2004,0.0,Amikacin
Australia,2005,0.0,Amikacin
Australia,2006,0.0,Amikacin
Australia,2007,0.0,Amikacin
Australia,2008,1.694915254237288,Amikacin
Australia,2009,0.0,Amikacin
Australia,2010,0.0,Amikacin
Australia,2012,0.0,Amikacin
Australia,2013,1.941747572815534,Amikacin
Australia,2014,0.0,Amikacin
Australia,2015,1.1111111111111112,Amikacin
Australia,2016,0.0,Amikacin
Australia,2017,0.6993006993006993,Amikacin
Austria,2004,0.0,Amikacin
Austria,2006,0.0,Amikacin
Austria,2008,5.0,Amikacin
Austria,2009,0.0,Amikacin
Austria,2010,0.0,Amikacin
Austria,2011,0.0,Amikacin
Austria,2012,0.0,Amikacin
Austria,2013,0.0,Amikacin
Austria,2014,0.9523809523809523,Amikacin
Austria,2015,2.7027027027027026,Amikacin
Austria,2016,0.0,Amikacin
Belgium,2004,0.0,Amikacin
Belgium,2005,0.0,Amikacin
Belgium,2006,0.0,Amikacin
Belgium,2007,0.0,Amikacin
Belgium,2008,0.0,Amikacin
Belgium,2009,1.2820512820512822,Amikacin
Belgium,2010,0.0,Amikacin
Belgium,2011,0.0,Amikacin
Belgium,2012,0.6535947712418301,Amikacin
Belgium,2013,0.8733624454148472,Amikacin
Belgium,2014,0.398406374501992,Amikacin
Belgium,2015,0.8,Amikacin
Belgium,2016,1.1627906976744187,Amikacin
Belgium,2017,0.0,Amikacin
Brazil,2004,0.0,Amikacin
Brazil,2005,6.0606060606060606,Amikacin
Brazil,2006,13.636363636363637,Amikacin
Brazil,2007,12.0,Amikacin
Brazil,2008,3.3333333333333335,Amikacin
Brazil,2009,1.3888888888888888,Amikacin
Brazil,2010,0.0,Amikacin
Brazil,2012,8.0,Amikacin
Brazil,2013,8.235294117647058,Amikacin
Brazil,2014,3.8095238095238093,Amikacin
Brazil,2015,4.72972972972973,Amikacin
Brazil,2016,6.214689265536723,Amikacin
Brazil,2017,6.198347107438017,Amikacin
Bulgaria,2008,16.666666666666668,Amikacin
Bulgaria,2009,17.699115044247787,Amikacin
Bulgaria,2010,19.23076923076923,Amikacin
Bulgaria,2011,17.391304347826086,Amikacin
Canada,2004,0.0,Amikacin
Canada,2005,0.0,Amikacin
Canada,2006,0.0,Amikacin
Canada,2007,0.0,Amikacin
Canada,2008,0.0,Amikacin
Canada,2009,0.0,Amikacin
Canada,2010,0.9174311926605505,Amikacin
Canada,2011,0.0,Amikacin
Canada,2012,0.6329113924050633,Amikacin
Canada,2013,0.0,Amikacin
Canada,2014,0.8771929824561403,Amikacin
Canada,2015,0.0,Amikacin
Canada,2016,0.0,Amikacin
Canada,2017,0.0,Amikacin
Chile,2005,55.88235294117647,Amikacin
Chile,2006,8.823529411764707,Amikacin
Chile,2007,34.285714285714285,Amikacin
Chile,2008,50.81967213114754,Amikacin
Chile,2009,28.26086956521739,Amikacin
Chile,2012,8.620689655172415,Amikacin
Chile,2013,17.582417582417584,Amikacin
Chile,2014,11.851851851851851,Amikacin
Chile,2015,10.256410256410257,Amikacin
Chile,2016,5.806451612903226,Amikacin
Chile,2017,5.405405405405405,Amikacin
China,2004,20.0,Amikacin
China,2005,4.545454545454546,Amikacin
China,2006,4.545454545454546,Amikacin
China,2008,4.0,Amikacin
China,2009,8.695652173913043,Amikacin
China,2010,1.408450704225352,Amikacin
China,2012,8.8,Amikacin
China,2013,6.4935064935064934,Amikacin
China,2014,8.108108108108109,Amikacin
China,2015,13.541666666666666,Amikacin
China,2016,8.659217877094973,Amikacin
Colombia,2005,0.0,Amikacin
Colombia,2006,0.0,Amikacin
Colombia,2007,4.545454545454546,Amikacin
Colombia,2008,12.258064516129032,Amikacin
Colombia,2009,3.0303030303030303,Amikacin
Colombia,2010,2.9702970297029703,Amikacin
Colombia,2011,0.0,Amikacin
Colombia,2012,0.0,Amikacin
Colombia,2013,2.9411764705882355,Amikacin
Colombia,2014,1.3513513513513513,Amikacin
Colombia,2015,0.0,Amikacin
Colombia,2016,0.0,Amikacin
Colombia,2017,1.4285714285714286,Amikacin
Croatia,2006,9.523809523809524,Amikacin
Croatia,2007,0.0,Amikacin
Croatia,2008,1.4285714285714286,Amikacin
Croatia,2009,0.0,Amikacin
Croatia,2010,0.0,Amikacin
Croatia,2013,4.0,Amikacin
